longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.184,47.4375,1,3,3,1210,7,2.8406,290000,0
-122.133,47.4431,1,4,3,2340,8,4.9306,375000,0
-122.38,47.6878,1.5,4,3,1670,7,3.2727,460000,0
-122.322,47.3813,1,4,2,1240,8,3.1691,188500,0
-122.082,47.7304,2,4,4,3140,10,3.9,680000,0
-122.109,47.6417,2,4,5,2030,7,3.9063,470000,0
-122.053,47.5386,2,3,4,2310,8,5.0917,597750,0
-122.349,47.6823,1,5,3,1260,6,2.6429,570000,0
-122.031,47.3624,1,4,3,1540,7,3.0233,272500,0
-122.295,47.5474,1,3,3,2080,7,3.1484,329950,0
-122.253,47.3183,2,3,4,3230,9,3.4722,480000,0
-122.368,47.6981,2,3,3,4380,8,3.1429,740500,0
-122.347,47.6824,3,3,3,1590,8,2.4234,518500,0
-122.248,47.5009,1,4,2,880,6,3.0897,205425,0
-122.303,47.4965,1,3,4,1570,6,5.8596,171800,0
-122.294,47.587,1.5,4,4,1610,7,5.2868,535000,0
-122.386,47.7728,1,3,3,2400,8,5.956,660000,0
-122.226,47.7288,1,3,3,1450,7,4.9643,391500,0
-122.364,47.6999,1,3,2,770,6,6.3434,395000,0
-122.266,47.5299,1.5,5,4,2100,7,5.1773,445000,0
-122.098,47.6897,2,3,3,2910,9,7.2354,770000,0
-122.212,47.6141,1.5,3,4,2750,8,5.457,1450000,0
-122.244,47.5091,1,3,3,2100,8,7.5,445000,0
-122.39,47.3129,1,3,4,2160,8,6.0194,260000,0
-122.352,47.6763,2,5,5,2320,7,7.5544,822500,0
-121.85,47.5319,2,3,4,2070,7,6.0666,430000,0
-122.152,47.2761,1,4,3,1060,7,7.0548,212000,0
-122.054,47.5343,1,3,4,2010,8,11.6017,660500,0
-122.072,47.697,1.5,3,3,3950,9,7.4882,784000,0
-121.998,47.5517,2,3,3,2010,8,6.8976,453246,0
-122.38,47.6734,3,3,4,2140,9,8.2049,675000,0
-122.296,47.3257,1,4,3,1320,7,8.401,199000,0
-122.299,47.3309,1,3,4,2020,7,6.8538,220000,0
-122.266,47.7689,1,4,4,2590,8,8.317,452000,0
-122.287,47.7135,1,3,2,1190,6,7.0175,382500,0
-122.381,47.6722,3,3,3,1170,8,6.3302,519950,0
-122.358,47.6338,1,3,2,1110,7,6.3624,665000,0
-122.128,47.5707,1,4,5,2820,8,7.0549,527700,0
-122.171,47.4563,1,4,3,1610,7,6.7851,205000,0
-122.351,47.7144,1,4,3,1060,7,2.8929,420000,0
-122.174,47.5495,1,4,4,2030,8,3.0812,500000,0
-122.026,47.7421,2,4,4,3670,9,5.2402,921500,0
-122.353,47.6354,2,3,4,2550,8,6.5217,890000,0
-121.943,47.5262,2,3,2,2420,7,3.2632,430000,0
-122.286,47.3887,1,4,5,2260,8,3.0298,258000,0
-122.336,47.6873,1,3,3,1430,7,4.5428,511000,0
-122.353,47.6838,2,3,3,1360,8,4.072,532170,0
-122.359,47.655,1.5,3,3,1110,7,5.3509,560000,0
-122.304,47.3255,1,4,3,1250,7,3.1603,282950,0
-122.162,47.562,2,3,4,5180,12,4.7708,2250000,0
-122.3,47.679,1,3,1,700,7,8.1564,350000,0
-122.176,47.4479,1,4,3,1180,7,8.8793,215000,0
-122.172,47.525,2,3,5,3960,9,6.8591,650000,0
-122.369,47.3135,1,3,4,2640,8,6.0302,320000,0
-121.996,47.2086,1.5,3,3,1270,7,7.508,247000,0
-122.118,47.4715,1,4,4,1760,8,2.7477,320000,0
-122.335,47.4877,1,3,5,2060,7,2.1944,255000,0
-122.193,47.7171,1,3,3,1780,7,3.0149,438000,0
-122.023,47.6012,2,3,3,3400,10,3.675,900000,0
-122.224,47.7319,1,3,3,1910,7,3.225,441000,0
-122.023,47.4582,1,4,3,2020,7,2.9345,420000,0
-122.168,47.7209,1,3,3,1580,7,2.1429,370000,0
-122.327,47.408,1,5,2,1340,5,1.6121,269950,0
-122.125,47.565,2,3,4,2680,9,1.3929,807100,0
-122.231,47.7028,1,4,3,2680,8,2.3173,653000,0
-122.331,47.7458,1,5,3,1370,7,1.7772,371500,0
-122.337,47.4776,1,3,3,1560,7,2.6458,284000,0
-122.374,47.3026,1,4,3,2160,7,2.181,272000,0
-122.339,47.7658,1.5,3,3,1340,7,2.2303,313000,0
-122.182,47.6477,2,3,4,3880,10,1.6504,917500,0
-122.125,47.5619,2,4,4,2590,8,2.2697,673000,0
-122.31,47.6106,2,3,3,1120,8,2.1563,425000,0
-122.308,47.5868,1,3,5,1970,7,2.1348,399950,0
-122.307,47.6101,1,3,3,1220,6,2.6292,385000,0
-121.999,47.1976,1,4,3,1950,7,2.3833,269950,0
-122.358,47.7224,1,3,2,1350,7,2.957,330000,0
-122.179,47.3505,2,3,3,1670,7,2.5238,260000,0
-122.376,47.5384,1.5,4,4,2380,7,1.9375,470000,0
-122.2,47.7044,2,5,4,2440,7,1.9028,589000,0
-122.039,47.3848,2,3,2,1050,7,2.25,163500,0
-122.102,47.6993,2,3,4,3130,9,2.3929,835000,0
-122.188,47.6627,1,4,5,4090,10,2.1917,1095000,0
-122.379,47.3099,1,4,4,1490,8,2.9357,269000,0
-122.043,47.62,2,3,3,1900,8,1.8854,560000,0
-122.34,47.65,1.5,4,4,1330,6,2.1638,615000,0
-122.153,47.6647,1,3,3,2230,8,2.125,585188,0
-122.191,47.726,1,3,3,1650,7,3.375,305000,0
-122.184,47.4616,1,3,3,1190,6,2.2542,166950,0
-122.219,47.5505,1,4,3,2140,8,2.1,799000,0
-122.336,47.7606,1,4,3,2180,7,1.6,400000,0
-122.3,47.7481,1,3,3,1060,7,3.625,230000,0
-122.347,47.2779,2,3,3,1690,8,1.6929,256883,0
-122.312,47.5511,1.5,5,4,1970,7,1.6471,423000,0
-122.372,47.5488,2,3,3,2150,8,2.59,465000,0
-121.911,47.5385,2,3,3,1910,7,2.57,440000,0
-121.994,47.4058,1,4,3,1350,7,2.6429,385000,0
-122.184,47.5093,1,4,3,860,6,3.0257,210000,0
-122.165,47.3777,2,3,3,1940,8,1.4886,297000,0
-122.394,47.675,1,3,3,1010,7,1.9338,470000,0
-122.37,47.3025,1,4,3,1300,7,1.4844,226500,0
-122.158,47.4787,1,4,3,910,6,1.6009,274250,0
-122.219,47.5378,1,4,4,2480,9,2.0375,840000,0
-122.114,47.7073,2,3,3,2440,8,2.293,677900,0
-122.381,47.5733,1,3,3,1010,7,2.1494,425000,0
-122.339,47.4604,1,3,2,900,6,1.6198,180250,0
-122.343,47.7067,2,3,6,2300,7,1.3281,464000,0
-122.047,47.354,2,3,4,1550,8,3.5156,320000,0
-122.284,47.6647,2,3,3,1270,8,3.9048,625504,0
-122.017,47.6143,1,3,4,2240,9,3.0893,592500,0
-122.275,47.3185,2,3,3,2714,9,2.6042,465000,0
-122.268,47.5458,2,3,4,1720,8,2.5,477000,0
-122.299,47.4889,1,3,2,850,6,2.7969,280000,0
-122.21,47.5673,1,3,5,3300,9,2.8321,1505000,0
-122.379,47.5133,2,3,3,2250,8,2.9583,445838,0
-122.291,47.5884,1,3,2,3900,8,2.8365,1072000,0
-122.367,47.7145,1,4,2,1320,8,2.875,467000,0
-122.026,47.5836,2,3,4,2760,10,3.0682,686000,0
-122.299,47.398,1,3,3,1750,7,3.0757,279950,0
-122.215,47.7663,2,3,4,2330,8,4.9559,527000,0
-122.217,47.3758,1,4,3,2220,8,4.7721,325000,0
-122.023,47.3828,2,3,3,2020,7,3.4861,328000,0
-122.373,47.5123,1,5,3,1250,7,5.1184,390000,0
-122.013,47.7076,1,3,2,1510,8,4.0977,479950,0
-122.371,47.2922,1,4,4,1720,7,4.744,264950,0
-122.214,47.4075,1,4,3,1430,7,4.2727,235000,0
-122.034,47.6794,2,3,3,1480,7,2.9844,516500,0
-122.375,47.4497,2,3,2,1450,7,4.1739,655000,1
-122.164,47.5218,1,5,4,2280,7,3.8487,500000,0
-122.339,47.3103,1,3,6,2940,8,4.0114,315000,0
-121.899,47.5687,1,3,2,1000,6,4.6563,213000,0
-122.303,47.5575,1.5,5,3,2480,7,2.9297,475000,0
-122.183,47.6489,2,3,5,3760,10,2.3036,1025000,0
-121.95,47.3459,1,5,3,2220,7,2.6667,416000,0
-122.303,47.6136,1.5,3,4,1970,7,2.619,410000,0
-122.023,47.7641,2,3,3,3830,10,2.4167,800000,0
-122.324,47.3376,1,4,6,4410,9,2.7788,472000,0
-122.319,47.3173,1,4,3,1430,7,2.7352,225000,0
-122.376,47.5308,1,3,2,830,6,1.8472,210000,0
-122.299,47.6727,1.5,2,2,1430,7,2.6583,455000,0
-122.216,47.3221,1,4,3,1300,6,3.0536,225000,0
-122.353,47.6779,1,4,2,1030,7,2.3906,480000,0
-122.395,47.3076,2,3,3,2740,9,1.7188,363000,0
-122.072,47.6338,1,3,4,3650,9,2.625,2400000,1
-122.357,47.5218,1,3,2,720,6,2.8015,181000,0
-122.213,47.2785,1,4,4,2010,7,1.7276,250000,0
-122.345,47.6846,1,4,3,1560,6,2.0801,481000,0
-122.278,47.3656,1,4,3,1810,7,2.489,260000,0
-122.111,47.4369,2,3,4,3360,9,1.7546,455000,0
-121.711,47.4616,2,3,3,1510,8,4.0904,415000,0
-122.27,47.5405,1,3,3,1400,7,2.6765,349500,0
-122.178,47.3507,2,3,3,1730,7,2.4338,245000,0
-122.32,47.6979,1.5,5,2,1420,7,2.3309,592500,0
-122.345,47.5278,1,4,4,2360,7,2.2604,385000,0
-122.147,47.4756,1,4,3,1580,7,1.8039,315000,0
-121.772,47.4437,1,3,3,1230,7,2.2562,255000,0
-122.109,47.7048,2,3,4,2460,8,2.0562,693000,0
-122.302,47.6362,1.5,3,3,1660,8,3.5398,780000,0
-122.29,47.4207,1,4,3,1270,7,3.1167,237000,0
-122.047,47.6154,2,3,3,2100,10,2.5401,525000,0
-122.299,47.5964,1,3,2,770,5,2.898,425000,0
-122.438,47.4683,1,5,1,760,5,2.3125,369900,1
-122.171,47.4045,2,4,4,1700,7,2.875,290000,0
-122.358,47.5544,1,3,3,1120,7,3.3715,285000,0
-122.29,47.6802,1,3,2,1070,7,3.5114,415000,0
-122.371,47.2988,1,3,3,2070,8,4.3125,272500,0
-122.223,47.6312,1.5,3,4,5050,11,3.22,2900000,0
-122.042,47.7285,2,4,4,5310,11,3.875,1365000,0
-122.352,47.7107,1,4,2,1040,7,5.2328,436000,0
-122.323,47.3271,1,4,3,1700,7,3.7262,210000,0
-122.255,47.5053,1,3,3,1300,7,4.5893,236000,0
-122.4,47.6601,1,3,3,1080,7,5.2578,331000,0
-122.166,47.4145,2,3,3,2653,8,7.0875,365000,0
-122.165,47.4672,1,5,3,2290,8,3.9712,450000,0
-122.261,47.7618,2,3,4,3820,9,2.9514,770000,0
-122.071,47.3828,1,3,4,2210,8,2.6667,455000,0
-122.268,47.5362,1,3,3,2390,6,5.4446,405000,0
-122.206,47.3954,1,4,4,2600,7,6.2838,304900,0
-122.272,47.5048,1,3,2,860,6,6.7527,170000,0
-122.287,47.6166,2,5,5,3830,9,7.0712,2050000,0
-122.025,47.6811,2,3,4,3500,9,5.9849,780000,0
-122.23,47.7486,1,4,3,2420,8,3.6875,330000,0
-122.169,47.3846,2,3,4,2720,9,2.875,370000,0
-122.144,47.7564,1,3,5,2500,7,3.4205,467000,0
-122.193,47.7198,1,3,3,1670,7,3.2984,405000,0
-122.151,47.5461,1,3,5,2900,8,3.875,675000,0
-122.143,47.5712,1,4,2,1640,7,4.175,500000,0
-122.343,47.4281,2,4,4,1890,7,4.375,389999,0
-122.223,47.7128,1,4,4,2950,8,4.7708,630000,0
-122.255,47.3341,2,3,4,2160,9,3.5739,360000,0
-122.181,47.5399,2,3,4,3280,8,3.0958,580000,0
-122.375,47.5717,2,5,3,1970,8,3.3958,550000,0
-122.017,47.5951,2,3,4,3360,10,1.871,879000,0
-122.144,47.3536,1,3,3,1320,7,1.9356,265000,0
-122.154,47.5084,2,3,3,2650,8,2.1842,446500,0
-122.311,47.5586,1,3,3,2030,7,2.2917,404000,0
-122.274,47.4427,1,3,3,1590,7,2.4333,267500,0
-122.077,47.6053,1,3,4,4550,10,1.9479,3075000,1
-122.301,47.3494,2,3,3,2440,8,3.9063,335000,0
-122.393,47.6933,1,4,3,1940,7,1.8407,576000,0
-122,47.3537,2,3,3,2040,8,2.0786,208633,0
-122.337,47.476,1,4,3,2200,7,2.8125,315000,0
-122.298,47.6239,1,4,3,1920,8,1.8913,725000,0
-122.384,47.7776,1,4,4,1800,8,1.7056,550000,0
-122.058,47.6459,2,3,4,2180,8,2.2768,610750,0
-122.297,47.6692,1.5,4,2,1010,6,3.2552,550700,0
-122.18,47.5376,2,5,4,3320,8,2.0556,665000,0
-122.294,47.601,1.5,5,4,2370,8,2.4659,834000,0
-121.837,47.529,1.5,3,5,1660,6,1.75,201000,0
-122.367,47.6345,2,5,5,3650,10,2.0469,2384000,0
-122.102,47.5503,1,3,4,4290,11,2.7159,1384000,0
-122.102,47.5503,1,3,4,4290,11,1.2083,1400000,0
-122.125,47.4441,1,3,4,1950,8,1.925,305000,0
-122.333,47.7357,1,5,3,2590,8,1.5809,487000,0
-122.157,47.346,1,4,3,1930,8,1.4097,390000,0
-122.345,47.6638,1,4,2,1470,7,0.7683,548000,0
-122.336,47.48,1,3,4,800,6,1.3194,268750,0
-122.151,47.6759,2,3,5,3150,9,0.8012,819900,0
-122.057,47.5162,2,3,3,2030,8,1.9479,520000,0
-122.252,47.2639,1,3,3,1450,7,1.1765,230000,0
-122.371,47.2929,1,3,3,1510,7,2.3456,240000,0
-122.352,47.4957,1,3,2,1240,6,2.1538,232000,0
-122.352,47.4957,1,3,2,1240,6,2.5139,240500,0
-122.093,47.7721,2,3,3,3030,9,1.2625,274975,0
-122.319,47.644,1.5,4,4,2050,9,2.9063,740000,0
-122.344,47.472,1,2,3,1000,7,2.5192,186375,0
-122.166,47.592,1,4,3,2370,9,2.1111,790000,0
-122.275,47.669,2,3,4,2800,9,2.455,880000,0
-122.323,47.42,2,4,6,2240,7,2.4028,279000,0
-122.012,47.1913,1,3,3,1810,8,2.15,295000,0
-122.331,47.6666,1,3,2,1070,7,2.4776,640000,0
-122.217,47.5639,2,5,4,2490,9,2.1587,940000,0
-122.052,47.3483,2,3,4,1960,7,1.8438,260000,0
-122.164,47.7648,1,3,3,2930,9,3.0298,559900,0
-122.357,47.6794,1.5,5,4,1510,7,2.25,791500,0
-122.354,47.7535,1,3,3,1420,7,2.2467,265000,0
-122.22,47.4945,1,3,3,1740,7,4.0469,245000,0
-122.093,47.6945,2,4,4,2560,7,1.325,485000,0
-122.157,47.5222,2,3,4,3040,9,1.6196,684000,0
-122.32,47.7222,1,3,3,2500,8,2.1731,425000,0
-122.49,47.3796,1,4,4,1275,6,1.9167,309600,0
-121.875,47.5374,2,3,4,2580,8,2.069,552250,0
-122.24,47.4897,1,3,4,1000,6,1.712,165000,0
-122.24,47.4897,1,3,4,1000,6,2.5625,239900,0
-122.078,47.4716,1,4,2,1070,6,1.9821,320000,0
-122.173,47.3581,1,4,3,1390,7,2.5043,206600,0
-122.307,47.7713,1,3,4,2500,7,2.3281,387000,0
-121.854,47.675,1,3,1,560,4,1.4375,299000,0
-122.222,47.5603,2,3,4,2270,9,2.5122,855000,0
-122.337,47.4147,1,4,3,1900,7,1.5625,315000,0
-122.353,47.68,1,5,2,990,7,3.1587,437500,0
-122.27,47.3117,1,4,4,1550,7,1.8426,252000,0
-122.28,47.543,1,5,4,2200,7,4.6696,375000,0
-122.034,47.3607,2,3,4,1910,7,2.4598,300000,0
-122.137,47.5759,1.5,4,4,1750,7,6.0749,420000,0
-122.159,47.6891,1,3,3,1330,7,4.8304,900000,0
-122.381,47.565,2,3,3,2440,9,5.5701,679900,0
-121.974,47.6359,2,3,3,1640,7,5.37,463000,0
-122.141,47.4769,2,4,5,2760,9,6.86,380000,0
-122.029,47.3845,2,3,4,1820,7,7.6923,329500,0
-122.184,47.6743,1,3,3,2110,8,4.0313,604950,0
-122.164,47.5651,1,4,5,3040,8,6.8323,795000,0
-121.709,47.4853,2,3,3,1840,7,4.975,465000,0
-122.359,47.4508,2,3,4,2990,9,5.3602,673000,0
-122.016,47.6375,2,3,4,3520,10,5,810000,0
-122.042,47.5944,1,4,4,2440,8,2.925,785000,0
-122.182,47.4888,1,3,4,2090,7,3.8913,338000,0
-122.19,47.5112,2,3,3,1430,7,3.225,280000,0
-122.341,47.7711,1,5,4,2180,7,3.1458,315000,0
-122.341,47.7711,1,5,4,2180,7,2.537,530000,0
-122.345,47.2813,2,3,5,3450,9,2.5568,380000,0
-122.189,47.5038,2,3,3,1450,7,3.5083,297000,0
-121.97,47.5823,2,3,4,3230,10,3.3125,730000,0
-122.304,47.7164,1,3,3,1640,7,1.8235,450000,0
-122.045,47.3624,1,3,3,1590,7,3.8047,275000,0
-122.329,47.6831,2,3,4,2020,7,2.2917,595000,0
-122.307,47.592,1.5,3,3,1300,7,2.4962,435000,0
-122.195,47.7461,1,1,2,1380,6,4.0417,270000,0
-122.06,47.7268,2,3,3,4040,10,3.4844,950000,0
-121.959,47.7237,2,3,4,2130,7,4.1458,389000,0
-122.095,47.6283,1,3,4,2550,8,2.625,560000,0
-122.148,47.5543,2,3,5,4800,11,2.0227,1350000,0
-122.226,47.5483,2,4,4,2510,8,3.3333,799000,0
-122.146,47.7591,1,4,3,1410,7,5.338,365500,0
-122.169,47.4612,1,3,3,1650,7,3.4732,252350,0
-122.365,47.4987,2,3,4,2120,8,3.5125,403950,0
-122.358,47.772,1,3,4,2040,7,3.1375,385000,0
-122.35,47.5287,1.5,3,4,1550,7,2.8036,345000,0
-122.114,47.6109,2,4,3,1980,9,4.5824,490000,0
-121.901,47.7736,2,3,3,1600,8,3.0208,330000,0
-122.218,47.6294,2,3,4,3300,8,4.0875,927000,0
-122.213,47.5634,2,4,4,3840,10,4.5268,1118000,0
-122.241,47.7405,1,5,2,1220,7,1.7375,330000,0
-122.118,47.5976,1,4,5,2720,7,3.1795,530000,0
-122.129,47.5722,1,1,4,1940,8,3.8672,365000,0
-122.289,47.5644,1.5,3,3,2160,7,5.1675,378750,0
-122.157,47.4556,1.5,4,4,1530,7,5.1696,269900,0
-122.305,47.6055,2,3,3,1710,8,4.2614,557000,0
-122.022,47.1775,1,4,4,3730,7,5.0551,360000,0
-122.385,47.6879,1,4,2,940,7,5.6228,352000,0
-121.779,47.4807,2,3,3,1750,8,7.8864,437000,0
-122.032,47.3845,2,3,4,1820,7,7.9556,322500,0
-122.402,47.5815,2,3,3,1510,9,6.174,650000,0
-122.344,47.6609,3,3,3,1290,8,6.9414,450000,0
-122.188,47.3163,1,3,3,1570,7,8.8342,278500,0
-122.191,47.4309,2,3,4,1930,8,7.1754,364950,0
-122.026,47.401,1,4,4,2840,10,10.0825,840000,0
-122.191,47.404,2,3,3,1550,7,4.9083,268000,0
-122.482,47.3889,1,3,2,833,5,5.7912,517534,0
-122.095,47.7718,2,4,3,2990,8,4.5893,632925,0
-122.2,47.7067,2,3,3,2000,9,5.4171,577500,0
-122.227,47.504,1.5,3,4,2390,7,4.125,339000,0
-122.164,47.7015,1,4,3,2910,7,7.266,570000,0
-121.95,47.5753,1,3,4,2085,7,5.3989,563500,0
-122.333,47.7448,1,5,4,2200,7,7.8336,423000,0
-121.982,47.7318,2,3,3,1860,8,6.1593,355000,0
-121.95,47.5954,2,3,5,6070,12,6.381,1550000,0
-122.337,47.6885,1,3,2,950,7,6.6828,482000,0
-122.179,47.5724,1,5,3,1600,7,7.5385,625000,0
-122.169,47.5272,2,3,3,2250,8,6.7138,538000,0
-122.161,47.4334,2,4,3,2280,8,6.2425,380000,0
-122.308,47.6073,1,3,2,940,7,5.7979,375000,0
-122.046,47.3592,1,5,3,1530,7,4.2813,245000,0
-122.337,47.4546,1,4,5,2190,7,3.5417,310000,0
-122.219,47.6408,1,4,3,2350,8,3.0132,1300000,0
-122.2,47.7245,1,3,4,1440,7,4.1429,397000,0
-122.178,47.4362,2,3,3,2200,8,4.1912,365000,0
-122.156,47.3739,2,3,4,2290,9,3.9167,328500,0
-122.127,47.7205,2,3,4,4040,11,3.8897,988000,0
-122.33,47.6636,1.5,5,4,2610,8,3.1065,1000000,0
-122.197,47.4324,2,3,3,1490,7,2.9926,237000,0
-122.224,47.7734,2,3,4,2450,8,3.556,525000,0
-122.164,47.559,1,3,4,1710,9,1.475,749000,0
-122.041,47.633,2,3,5,4870,10,1.6971,722500,0
-122.103,47.6954,2,3,3,3130,10,2.1705,843000,0
-122.318,47.6776,3,3,2,1270,8,2.75,438000,0
-122.382,47.504,1,3,3,2120,8,2.5682,578000,0
-122.255,47.2613,1,5,3,1670,7,2.9,227950,0
-122.271,47.3417,2,3,3,2070,7,2.2208,196000,0
-122.275,47.6694,1,3,2,1420,8,3.2344,641000,0
-121.955,47.4056,1,4,3,1250,6,3.5156,350000,0
-122.289,47.3838,1,4,3,940,7,1.9805,205000,0
-122.082,47.7487,1,3,3,1920,7,2.6684,400000,0
-122.078,47.5534,1,3,3,3545,10,3.875,1030000,0
-122.18,47.7355,1,3,3,1260,7,3.006,505000,0
-122.211,47.7206,1,3,5,2340,7,2.543,475000,0
